# CurlyM omega_m logL logPrior
-2.963837777080603697e+00 1.134209658249911268e+00 -4.480696529518470328e+01 0.000000000000000000e+00
-2.944402127189269525e+00 7.938002416089868785e-01 -4.480188314040821496e+01 0.000000000000000000e+00
-3.056612976492755429e+00 6.933575200715001996e-01 -4.480082620157968876e+01 0.000000000000000000e+00
-2.935139153264413991e+00 1.222870003373453418e+00 -4.480030840458267249e+01 0.000000000000000000e+00
-2.904956373062819175e+00 1.311568163201328518e+00 -4.478997681708984402e+01 0.000000000000000000e+00
-3.054765354258459631e+00 7.894290729459088052e-01 -4.477852232665292576e+01 0.000000000000000000e+00
-2.965132946457715413e+00 7.592614685153982190e-01 -4.477785063731992210e+01 0.000000000000000000e+00
-2.903103084913037257e+00 8.789318814093657339e-01 -4.476280622292151889e+01 0.000000000000000000e+00
-3.029867421024619922e+00 9.034144300236244263e-01 -4.475648295522214681e+01 0.000000000000000000e+00
-2.957221096307406594e+00 7.734134519534936469e-01 -4.474056127956472295e+01 0.000000000000000000e+00
-2.869652396982239395e+00 1.407443030169015508e+00 -4.473823125457268901e+01 0.000000000000000000e+00
-2.823038795722692118e+00 1.522787207518443875e+00 -4.473171122131176247e+01 0.000000000000000000e+00
-2.790997805215150063e+00 1.586975158828287880e+00 -4.472898178707945505e+01 0.000000000000000000e+00
-2.772596185172879313e+00 1.298829905263132467e+00 -4.472890731492716299e+01 0.000000000000000000e+00
-3.003129044297938144e+00 7.096531757211614888e-01 -4.472673195224852094e+01 0.000000000000000000e+00
-2.909017209897888812e+00 1.297031148979129744e+00 -4.472194376468782906e+01 0.000000000000000000e+00
-3.002230934121646211e+00 1.002930843387177751e+00 -4.471001782318743523e+01 0.000000000000000000e+00
-3.042605161669423630e+00 6.870301897469822672e-01 -4.470926664703187470e+01 0.000000000000000000e+00
-3.021810866608880541e+00 9.317123606139581238e-01 -4.470344862869831815e+01 0.000000000000000000e+00
-2.998892673406667875e+00 1.014201260226928802e+00 -4.470340437288809454e+01 0.000000000000000000e+00
